5.3104 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1., -1., -1.]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x133162cf8>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x138de9c18>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stencilBits=0, stereo=False, units='deg', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
12.3796 	EXP 	New trial (rep=0, index=5): OrderedDict([('stimFile', 'Images/Cakeclr.jpg')])
12.3892 	DATA 	Keypress: space
12.4116 	EXP 	image: autoDraw = False
12.4116 	EXP 	image: ori = -720
12.4116 	EXP 	image: ori = -720.0
12.4116 	EXP 	image: size = array([0.62444444, 0.43777778])
12.4116 	EXP 	image: image = 'Images/Cakeclr.jpg'
13.0950 	EXP 	image: autoDraw = True
14.0135 	EXP 	New trial (rep=0, index=6): OrderedDict([('stimFile', 'Images/Cowclr.jpg')])
14.0268 	DATA 	Keypress: space
14.0462 	EXP 	image: autoDraw = False
14.0462 	EXP 	image: ori = -720
14.0462 	EXP 	image: ori = -720.0
14.0462 	EXP 	image: size = array([0.62444444, 0.43777778])
14.0462 	EXP 	image: image = 'Images/Cowclr.jpg'
14.8294 	EXP 	image: autoDraw = True
15.3302 	EXP 	New trial (rep=0, index=7): OrderedDict([('stimFile', 'Images/Birdclr.jpg')])
15.3391 	DATA 	Keypress: space
15.3473 	EXP 	image: autoDraw = False
15.3473 	EXP 	image: ori = -720
15.3473 	EXP 	image: ori = -720.0
15.3473 	EXP 	image: size = array([0.62444444, 0.43777778])
15.3473 	EXP 	image: image = 'Images/Birdclr.jpg'
16.3124 	EXP 	image: autoDraw = True
16.9550 	DATA 	Keypress: right
17.6966 	EXP 	New trial (rep=0, index=8): OrderedDict([('stimFile', 'Images/Owlclr.jpg')])
17.7074 	DATA 	Keypress: space
17.7292 	EXP 	image: autoDraw = False
17.7292 	EXP 	image: ori = -2655
17.7292 	EXP 	image: ori = -2655.0
17.7292 	EXP 	image: size = array([0.43777778, 0.62444444])
17.7292 	EXP 	image: image = 'Images/Owlclr.jpg'
18.2626 	EXP 	image: autoDraw = True
20.3829 	EXP 	New trial (rep=0, index=9): OrderedDict([('stimFile', 'Images/Chairclr.jpg')])
20.3948 	DATA 	Keypress: space
20.4134 	EXP 	image: autoDraw = False
20.4134 	EXP 	image: ori = -2655
20.4134 	EXP 	image: ori = -2655.0
20.4134 	EXP 	image: size = array([0.43777778, 0.62444444])
20.4134 	EXP 	image: image = 'Images/Chairclr.jpg'
21.1973 	EXP 	image: autoDraw = True
21.8165 	EXP 	New trial (rep=0, index=10): OrderedDict([('stimFile', 'Images/Swanclr.jpg')])
21.8279 	DATA 	Keypress: space
21.8470 	EXP 	image: autoDraw = False
21.8470 	EXP 	image: ori = -2655
21.8470 	EXP 	image: ori = -2655.0
21.8470 	EXP 	image: size = array([0.62444444, 0.43777778])
21.8470 	EXP 	image: image = 'Images/Swanclr.jpg'
22.6815 	EXP 	image: autoDraw = True
25.7826 	DATA 	Keypress: left
26.0083 	EXP 	New trial (rep=0, index=11): OrderedDict([('stimFile', 'Images/Bedclr.jpg')])
26.0199 	DATA 	Keypress: space
26.0372 	EXP 	image: autoDraw = False
26.0372 	EXP 	image: ori = -2070
26.0372 	EXP 	image: ori = -2070.0
26.0372 	EXP 	image: size = array([0.62444444, 0.43777778])
26.0372 	EXP 	image: image = 'Images/Bedclr.jpg'
26.9490 	EXP 	image: autoDraw = True
28.7837 	EXP 	New trial (rep=0, index=12): OrderedDict([('stimFile', 'Images/Trainclr.jpg')])
28.7934 	DATA 	Keypress: space
28.8155 	EXP 	image: autoDraw = False
28.8155 	EXP 	image: ori = -2070
28.8155 	EXP 	image: ori = -2070.0
28.8155 	EXP 	image: size = array([0.62444444, 0.43777778])
28.8155 	EXP 	image: image = 'Images/Trainclr.jpg'
29.2989 	EXP 	image: autoDraw = True
30.0334 	EXP 	New trial (rep=0, index=13): OrderedDict([('stimFile', 'Images/Cornclr.jpg')])
30.0442 	DATA 	Keypress: space
30.0651 	EXP 	image: autoDraw = False
30.0651 	EXP 	image: ori = -2070
30.0651 	EXP 	image: ori = -2070.0
30.0651 	EXP 	image: size = array([0.62444444, 0.43777778])
30.0651 	EXP 	image: image = 'Images/Cornclr.jpg'
30.7161 	EXP 	image: autoDraw = True
31.5846 	EXP 	New trial (rep=0, index=14): OrderedDict([('stimFile', 'Images/Elephantclr.jpg')])
31.5964 	DATA 	Keypress: space
31.6163 	EXP 	image: autoDraw = False
31.6163 	EXP 	image: ori = -2070
31.6163 	EXP 	image: ori = -2070.0
31.6163 	EXP 	image: size = array([0.62444444, 0.43777778])
31.6163 	EXP 	image: image = 'Images/Elephantclr.jpg'
32.3166 	EXP 	image: autoDraw = True
33.7513 	DATA 	Keypress: escape
33.8559 	EXP 	window1: mouseVisible = True
