5.3518 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1., -1., -1.]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x133271cf8>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x138ea8c18>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stencilBits=0, stereo=False, units='deg', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
29.4897 	EXP 	image: image = 'Images/Guitarclr.jpg'
30.3901 	EXP 	image: autoDraw = True
32.0423 	DATA 	Keypress: left
32.3425 	EXP 	New trial (rep=0, index=14): OrderedDict([('stimFile', 'Images/Roosterclr.jpg')])
32.3547 	DATA 	Keypress: space
32.3735 	EXP 	image: autoDraw = False
32.3735 	EXP 	image: ori = -1800
32.3735 	EXP 	image: ori = -1800.0
32.3735 	EXP 	image: size = array([0.43777778, 0.62444444])
32.3735 	EXP 	image: image = 'Images/Roosterclr.jpg'
33.0074 	EXP 	image: autoDraw = True
33.4915 	EXP 	New trial (rep=0, index=15): OrderedDict([('stimFile', 'Images/Lightbulbclr.jpg')])
33.5002 	DATA 	Keypress: space
33.5135 	EXP 	image: autoDraw = False
33.5135 	EXP 	image: ori = -1800
33.5135 	EXP 	image: ori = -1800.0
33.5135 	EXP 	image: size = array([0.43777778, 0.62444444])
33.5135 	EXP 	image: image = 'Images/Lightbulbclr.jpg'
34.3077 	EXP 	image: autoDraw = True
34.6095 	DATA 	Keypress: escape
34.6823 	EXP 	window1: mouseVisible = True
